time,o,c,h,l,t,rsi,macd,macdSignal,macdHist,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2021-01-11- 18:05:00,186.12,186.21,186.32,186.06,1610388300,41.29238977050479,0.08257758899512169,0.12279683466222849,-0.0402192456671068,50.27241133636499,186.1683333333335,186.10814843156624,186.22851823510075,183.88202780913838,186.22786428120173
2021-01-11- 18:10:00,186.21,186.52,186.57,186.19,1610388600,70.7916080136038,0.08850166949935101,0.11593780162965299,-0.02743613213030198,44.7462866179286,186.29000000000016,185.95974757104392,186.6202524289564,183.94318725295562,186.37393214060086
2021-01-11- 18:15:00,186.55,186.08,186.73,186.08,1610388900,34.20232188457593,0.05928925514743355,0.1046080923332091,-0.04531883718577555,48.36547528223469,186.27000000000018,185.900856847764,186.63914315223636,184.0031235078965,186.22696607030042
2021-01-11- 18:20:00,186.05,185.89,186.05,185.42,1610389200,25.62386785252768,0.025045554927885405,0.08869558485214436,-0.06365002992425896,48.540751110912076,186.1633333333335,185.63561286843313,186.69105379823387,184.06186103773857,186.0584830351502
2021-01-11- 18:25:00,185.83,185.09,185.84,184.98,1610389500,9.915994922774209,-0.05304801034233719,0.06034686581324805,-0.11339487615558524,55.501932853149206,185.68666666666684,184.82871043872223,186.54462289461145,184.11942381698378,185.5742415175751
2021-01-11- 18:30:00,185.12,185.1,185.26,184.79,1610389800,10.939660994743774,-0.10194555294438601,0.027888382061721236,-0.12983393500610724,62.24725799134064,185.36000000000016,184.6104223410083,186.109577658992,184.1758353406441,185.33712075878753
2021-01-11- 18:35:00,185.12,185.19,185.31,185.07,1610390100,22.78496625230335,-0.1244868227612983,-0.00258665890288267,-0.12190016385841562,62.329220983867664,185.12666666666686,185.03672841558355,185.21660491775017,184.23111863383124,185.26356037939377
2021-01-11- 18:40:00,185.2,184.78,185.2,184.46,1610390400,11.936458391211525,-0.16309990382845285,-0.034689307887996707,-0.12841059594045615,69.63133804969856,185.0233333333335,184.67144951390375,185.37521715276327,184.28529626115463,185.02178018969687
2021-01-11- 18:45:00,184.8,184.04,184.81,183.9,1610390700,5.214651511805142,-0.2335341570494336,-0.07445827772028409,-0.15907587932914952,76.83206941607392,184.67000000000016,183.71822971948515,185.62177028051516,186.94,184.53089009484842
2021-01-11- 18:50:00,184.09,184.822,184.85,184.09,1610391000,49.9190030951646,-0.2184341644837957,-0.10325345507298642,-0.1151807094108093,78.73841599175786,184.5473333333335,183.8290365824128,185.2656300842542,186.9096,184.6764450474242
2021-01-11- 18:55:00,184.91,184.66,185.01,184.53,1610391300,43.53815852661207,-0.2121056509326138,-0.1250238942449119,-0.0870817566877019,66.98175015200674,184.5073333333335,183.83331783714388,185.1813488295231,186.87950400000003,184.6682225237121
2021-01-11- 19:00:00,184.635,183.99,184.635,183.74,1610391600,24.28254127295278,-0.24650122232429794,-0.1493193598607891,-0.09718186246350885,70.69987892253698,184.49066666666684,183.7703679630334,185.21096537030027,186.84970896000002,184.32911126185604
2021-01-11- 19:05:00,183.98,183.57,184.06,183.54,1610391900,17.150313567746657,-0.2894281805111518,-0.17734112399086163,-0.11208705652029019,74.5552507786358,184.0733333333335,183.1755830585834,184.97108360808357,186.78751478080002,183.94955563092802
2021-01-11- 19:10:00,183.57,183.52,183.95,183.44,1610392200,16.295613472608736,-0.3112030784457147,-0.20411351488183224,-0.10708956356388247,77.85902469103056,183.6933333333335,183.27180173414058,184.11486493252642,186.69008933737604,183.734777815464
2021-01-11- 19:15:00,183.5,182.96,183.81,182.96,1610392500,8.869606785972472,-0.35318474363526775,-0.23392776063251935,-0.1192569830027484,82.50473669250518,183.35000000000016,182.79694786238204,183.9030521376183,186.560085763881,183.347388907732
2021-01-11- 19:20:00,182.96,183.25,183.32,182.52,1610392800,32.69472054352259,-0.3489099508579727,-0.25692419867761,-0.0919857521803627,86.6779498547614,183.24333333333348,182.78599805608658,183.70066861058038,186.38008147568695,183.298694453866
2021-01-11- 19:25:00,183.33,182.76,183.33,182.56,1610393100,19.66464036302678,-0.36767235387262076,-0.27907382971661215,-0.0885985241560086,88.5995652481492,182.99000000000015,182.58767343249093,183.39232656750937,186.14847658714572,183.029347226933
2021-01-11- 19:30:00,182.73,182.89,183.25,182.4,1610393400,30.661800519670322,-0.35856137623704853,-0.29497133902069944,-0.0635900372163491,90.48798447979512,182.9666666666668,182.55215222485137,183.38118110848225,185.93076799191698,182.9596736134665
2021-01-11- 19:35:00,182.94,182.47,182.94,182.4,1610393700,18.433284938826038,-0.3690247028790452,-0.3097820117923686,-0.059242691086676624,91.74693063422573,182.70666666666682,182.3555414907628,183.05779184257085,185.6836142324828,182.71483680673325
2021-01-11- 19:40:00,182.49,183.22,183.3,182.4,1610394000,60.56274991723013,-0.31201254339114826,-0.31022811811212453,-0.001784425279023727,65.3364007179481,182.86000000000016,182.24615962968306,183.47384037031725,185.453761236209,182.96741840336662
2021-01-11- 19:45:00,183.21,183.26,183.67,182.99,1610394300,62.12764515273458,-0.2610895822447503,-0.30040041093864966,0.03931082869389935,61.10572155711274,182.9833333333335,182.25663608611575,183.71003058055123,185.23999794967438,183.11370920168332
2021-01-11- 19:50:00,183.27,183.26,183.37,182.79,1610394600,62.12764515273458,-0.21865004090071238,-0.2840503369310622,0.0654002960303498,44.491662121909705,183.2466666666668,183.20895430170697,183.28437903162666,185.04119809319718,183.18685460084166
2021-01-11- 19:55:00,183.23,183.82,183.99,183.17,1610394900,83.1673940940296,-0.1449539310964667,-0.25623105576414307,0.11127712466767636,49.909840908262424,183.4466666666668,182.91869360311944,183.97463973021416,184.8563142266734,183.5034273004208
2021-01-11- 20:00:00,183.86,183.36,183.86,183.08,1610395200,49.37188393988527,-0.1229503740083544,-0.22957491941298533,0.10662454540463093,47.720412613773725,183.48000000000013,182.99228423548786,183.9677157645124,184.68437223080625,183.4317136502104
2021-01-11- 20:05:00,183.46,182.77,183.6,182.58,1610395500,27.709113895076893,-0.14460784929195825,-0.2125815053887799,0.06797365609682166,40.02949120869486,183.3166666666668,182.45715776278473,184.17617557054888,184.5244661746498,183.1008568251052
2021-01-11- 20:10:00,182.69,182.34,183,182.16,1610395800,18.726557652292144,-0.18331891082758034,-0.20672898647653998,0.02341007564895964,44.2980477075428,182.82333333333347,181.98709838477913,183.6595682818878,184.37575354242432,182.72042841255262
2021-01-11- 20:15:00,182.36,182.16,182.71,182.08,1610396100,15.559425571082047,-0.214835800527851,-0.20835034928680218,-0.006485451241048823,48.66181190206862,182.42333333333343,181.9115173938525,182.93514927281436,184.19849325903039,182.44021420627632
2021-01-11- 20:20:00,182.07,181.3,182.11,181.04,1610396400,7.033895943844957,-0.28703629031255673,-0.2240875374919531,-0.06294875282060364,60.847706688080414,181.93333333333348,181.02568680383837,182.8409798628286,184.00782886571764,181.87010710313817
2021-01-11- 20:25:00,181.36,180.89,182.03,180.86,1610396700,5.053681117435956,-0.3527738334935009,-0.24982479669226265,-0.10294903680123824,69.68592337688165,181.45000000000013,180.3915734947646,182.50842650523566,183.71104597914587,181.38005355156906
2021-01-11- 20:30:00,180.91,181.29,181.78,180.81,1610397000,32.7569567273154,-0.3566259317068443,-0.271185023695179,-0.08544090801166532,75.81804246070753,181.1600000000001,180.77807505059423,181.541924949406,183.39743092143982,181.3350267757845
2021-01-11- 20:35:00,181.28,181.08,182.04,181.08,1610397300,26.636535750066333,-0.3613277080795001,-0.2892135605720432,-0.07211414750745687,60.61878011896243,181.0866666666668,180.75993197939084,181.41340135394273,183.08693921086703,181.20751338789228
2021-01-11- 20:40:00,181.13,181.55,181.95,181,1610397600,54.9159533337915,-0.3199322033647434,-0.29535728913058323,-0.02457491423416014,53.377949800465196,181.30666666666676,180.92219011005363,181.69114322327988,182.81370650556298,181.37875669394614
2021-01-11- 20:45:00,181.58,182.69,182.9,181.48,1610397900,81.23417510613551,-0.20380243689896815,-0.2770463186842602,0.07324388178529206,54.51647163118139,181.77333333333345,180.42136357681187,183.12530308985504,180.81,182.03437834697309
2021-01-11- 20:50:00,182.77,181.97,183.28,181.92,1610398200,52.30672793359825,-0.16963831924545048,-0.2555647187964983,0.0859263995510478,59.487616442118984,182.07000000000014,181.12851181616105,183.01148818383922,180.8309,182.00218917348656
2021-01-11- 20:55:00,181.99,181.97,182.32,181.5,1610398500,52.30672793359825,-0.14135464115739182,-0.232722703268677,0.09136806211128518,44.35964702544351,182.21000000000012,181.53117748982467,182.88882251017557,180.879882,181.98609458674326
2021-01-11- 21:00:00,181.82,182.52,182.85,181.69,1610398800,70.41444671270058,-0.08030112169237213,-0.20223838695341603,0.1219372652610439,45.211541639852555,182.15333333333345,181.63478836013454,182.67187830653236,180.92788436,182.25304729337165
2021-01-11- 21:05:00,182.53,182.39,182.53,182.18,1610399100,62.060464166642724,-0.0462641517301563,-0.1710435399087641,0.12477938817860779,45.77947138279192,182.29333333333344,181.8239128864951,182.76275378017178,180.9749266728,182.32152364668582
2021-01-11- 21:10:00,182.4,182.68,182.77,182.27,1610399400,72.84190848894201,-0.0024530124651391816,-0.1373254344200391,0.13487242195489993,51.11549997989417,182.53000000000011,182.29279404090488,182.76720595909535,181.021028139344,182.5007618233429
2021-01-11- 21:20:00,182.5,182.53,182.53,182.5,1610400000,59.682994296149324,0.01620741294740924,-0.10661886494654944,0.12282627789395868,54.672852377962336,182.53333333333345,182.29650240365885,182.77016426300804,181.0662075765571,182.51538091167146
2021-01-11- 21:30:00,182.5,182.35,182.5,182.35,1610400600,45.03797114819396,0.01562641384464314,-0.08216980918831093,0.09779622303295407,41.80255692353277,182.52000000000012,182.2501852481525,182.78981475184776,181.11048342502596,182.4326904558357
2021-01-11- 21:35:00,182.33,182.23,182.33,182.19,1610400900,36.164034338319304,0.006504682337890699,-0.0644349108830706,0.0709395932209613,34.5612823951567,182.37000000000012,182.12342343921887,182.61657656078137,181.15387375652546,182.33134522791784
2021-01-11- 21:50:00,182.3,182.18,182.3,182.18,1610401800,32.1988946319352,-0.0031396942037531517,-0.052175867547207114,0.04903617334345396,30.489418691533047,182.25333333333347,182.11066043537818,182.39600623128877,181.19639628139495,182.25567261395892
2021-01-11- 21:55:00,182.16,182.08,182.16,182.08,1610402100,24.22919628404797,-0.016217114860950232,-0.044984117009955735,0.028767002149005502,35.50089378459676,182.1633333333335,182.03861141951438,182.2880552471526,181.23806835576704,182.16783630697947
2021-01-11- 22:00:00,182.13,182.13,182.13,182.13,1610402400,36.09269269977367,-0.020850387776846446,-0.04015737116333388,0.019306983386487432,38.84187717997258,182.13000000000014,182.04835034038413,182.21164965961614,181.2789069886517,182.14891815348972
2021-01-11- 22:15:00,182.45,182.3,182.45,182.26,1610403300,64.466549318136,-0.01156287037017023,-0.03443847100470115,0.022875600634530917,43.82390545820335,182.17000000000016,181.98167404078197,182.35832595921835,181.31892884887867,182.22445907674486
